Time,Ultrasonic_p2_01,Ultrasonic_p2_02,Ultrasonic_p2_03,Ultrasonic_p2_04,Ultrasonic_p2_05,Ultrasonic_p2_06,Ultrasonic_p2_07,Ultrasonic_p2_08,Ultrasonic_p2_09,Ultrasonic_p2_10,Ultrasonic_p2_11,Ultrasonic_p2_12,Ultrasonic_p2_13,Ultrasonic_p2_14,Ultrasonic_p2_15,Ultrasonic_p2_16,Ultrasonic_p2_17
27.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.600,
27.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.700,
27.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,67.200,
27.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.600,
27.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.700,
27.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53.200,
27.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.700,
28.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.900,
28.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53.600,
28.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.000,
28.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.000,
28.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.000,
28.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.300,
28.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.500,
28.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.700,
28.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46.400,
28.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.800,
29.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.300,
29.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.800,
29.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.900,
29.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.900,
29.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.300,
29.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,67.900,
29.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.500,
29.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.500,
29.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48.300,
29.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.700,
30.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48.300,
30.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.500,
30.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54.400,
30.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.200,
30.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.200,
30.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.600,
30.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.600,
30.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62.200,
30.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.100,
30.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.100,
